,167.0896074,51.36022727
0,181.6486334,62.03968182
1,176.2727996,69.55768182
2,173.270164,64.69790909
3,172.1810374,65.58959091
4,174.4925136,56.04654545
5,177.2971816,64.31577273
6,177.8373888,62.02831818
7,172.472731,51.07831818
8,169.6271944,54.84872727
9,168.8787326,57.93254545
10,171.7632582,51.88318182
11,173.4882992,57.09577273
12,170.4760624,55.66445455
13,173.4303618,52.76663636
14,180.572664,63.63522727
15,168.81094,58.86468182
16,174.3691458,64.98786364
17,180.9250382,62.68295455
18,170.5131972,56.38404545
19,172.2978266,64.2185
20,174.9521774,65.24509091
21,161.242121,44.50086818
22,173.7915498,58.86486364
23,171.7752216,64.47731818
24,170.7099456,58.96563636
25,179.939569,64.73795455
26,171.4356236,59.79554545
27,168.9963854,49.242
28,166.2200892,51.76918182
29,176.589182,46.95527273
30,167.165528,54.888
31,172.253402,57.17663636
32,179.311427,61.91931818
33,182.3842936,63.6825
34,175.7835702,58.52213636
35,169.6813472,64.45427273
36,171.8536822,55.10540909
37,172.2298054,59.70354545
38,162.675189,48.50522727
39,174.1795602,56.52718182
40,165.5662678,56.75413636
41,176.9316756,63.48686364
42,172.6369674,62.44072727
43,167.5914352,48.38631818
44,174.4281246,58.52904545
45,169.8774352,66.21986364
46,171.9546472,53.09954545
47,177.3457718,65.2825
48,175.4839518,61.33295455
49,177.5835666,66.82813636
50,171.0228228,57.42204545
51,178.4842506,57.03813636
52,175.5227376,52.59472727
53,166.0742424,56.13145455
54,178.2685538,67.22390909
55,178.8316718,70.86304545
56,169.0211504,58.21554545
57,168.5650172,54.25913636
58,171.54398,60.82490909
59,168.9206172,58.51477273
60,175.2589332,62.52059091
61,173.491017,58.982
62,170.211877,58.55636364
63,179.8470368,61.5075
64,173.2775554,49.82331818
65,175.4102156,64.75836364
66,172.0368162,60.34045455
67,170.7278272,47.05795455
68,171.1137802,56.69540909
69,165.7866382,58.77895455
70,179.9406612,60.91704545
71,177.6080268,63.81677273
72,163.2841032,46.74322727
73,173.342808,58.41881818
74,168.5469832,54.68140909
75,173.641385,63.00163636
76,166.311326,60.43518182
77,177.0874538,52.55604545
78,172.0228716,55.69272727
79,174.3441014,61.19336364
80,169.631487,55.40845455
81,177.9307338,70.62577273
82,168.3473392,58.60990909
83,175.7730292,58.68240909
84,175.6024174,63.39695455
85,171.1054744,64.04095455
86,178.0361438,59.81436364
87,178.248564,55.056
88,173.2929224,59.7785
89,173.0484728,62.06722727
90,178.4161024,64.31345455
91,181.5783008,63.91381818
92,175.7801158,50.97331818
93,177.9601724,60.66227273
94,179.2148562,59.90913636
95,168.3675576,54.55840909
96,161.1014558,55.95327273
97,169.5884594,58.24690909
98,174.9740214,52.48904545
99,164.7808236,46.40577273
100,170.4155088,59.25136364
101,173.6029294,60.99281818
102,166.6512542,44.83696818
103,172.0989954,52.07268182
104,172.773848,56.13259091
105,171.8613022,55.93090909
106,168.439084,57.48963636
107,176.3701324,58.37136364
108,162.1440496,57.8155
109,172.0158358,55.48009091
110,177.9294892,58.00290909
111,178.2724908,59.83740909
112,167.5025352,50.86159091
113,177.81778,55.47227273
114,174.2726766,58.43395455
115,174.7727518,60.30872727
116,177.1957848,61.84690909
117,166.2566906,52.70013636
118,174.8163636,62.22913636
119,167.132762,54.49109091
120,170.7254396,49.54795455
121,176.3273334,58.30477273
122,175.1176584,61.49604545
123,172.57141,48.57081818
124,166.6876524,56.04268182
125,168.9000178,49.77922727
126,172.5373486,54.23122727
127,174.991141,63.74554545
128,178.41214,60.90186364
129,173.3962242,60.26395455
130,180.9282894,59.40854545
131,175.5075738,52.52895455
132,163.5682022,56.27004545
133,180.583459,58.24668182
134,173.2754472,61.80209091
135,167.4297134,53.01240909
136,171.289726,57.64731818
137,187.7087178,68.81422727
138,177.7529846,59.27372727
139,176.5772948,61.91218182
140,165.5682998,51.54495455
141,172.7420726,56.96759091
142,173.579536,57.993
143,165.5677918,48.70745455
144,173.3857086,52.93581818
145,174.164371,60.83645455
146,163.821745,51.31368182
147,174.5247462,59.43490909
148,174.9843592,62.61686364
149,176.6318794,57.00163636
150,171.1950856,62.93904545
151,168.8470334,54.91745455
152,167.6709118,63.70631818
153,184.0086236,62.15440909
154,162.8811068,48.23359091
155,180.2920448,72.25281818
156,171.4531496,49.44854545
157,182.918481,63.07990909
158,165.8910322,52.688
159,170.3707286,66.49645455
160,163.5543592,49.94386364
161,176.1998762,63.2045
162,173.6831934,54.50004545
163,165.8878572,58.32131818
164,170.527726,57.83763636
165,173.7224872,52.37754545
166,168.381172,56.72613636
167,170.653964,57.70504545
168,167.6185624,50.57777273
169,176.3621822,55.73131818
170,172.6555602,56.45836364
171,172.1137782,56.65695455
172,165.8077456,54.32586364
173,187.5374456,63.31740909
174,169.7053248,47.64840909
175,169.9110394,55.92836364
176,166.9686272,54.04195455
177,167.5963882,55.2245
178,169.1232584,54.204
179,170.4668676,61.3745
180,167.3220174,52.83090909
181,169.6229018,49.62413636
182,174.5888558,56.46531818
183,168.2157164,64.16568182
184,167.5375872,58.70459091
185,174.2026488,58.12240909
186,169.1474138,54.96563636
187,170.0929796,58.02118182
188,172.923581,46.12240909
189,178.283235,65.90577273
190,166.4245846,50.43286364
191,171.345987,60.39204545
192,171.221019,66.5175
193,176.9404132,66.177
194,167.1268946,54.92868182
195,167.9081732,52.62786364
196,173.3292698,58.31904545
197,172.7810362,57.94172727
198,181.3317176,58.1255
199,166.958264,55.22713636
200,168.7412932,51.234
201,177.8332486,61.36454545
202,176.4829084,58.49040909
203,174.3142056,56.54827273
204,173.641385,63.64818182
205,173.7113112,53.41772727
206,174.6862902,65.39713636
207,177.605944,64.16831818
208,181.7507668,70.88245455
209,173.8570056,60.91331818
210,169.4535092,59.13522727
211,169.3776902,48.28477273
212,172.5599546,50.93131818
213,175.002317,61.90381818
214,170.9214514,59.65272727
215,176.7131848,59.69231818
216,171.8939666,54.33004545
217,175.365537,53.18022727
218,172.637831,62.96613636
219,167.2331428,49.84172727
220,167.0631152,59.16222727
221,180.6982924,62.32336364
222,172.289597,51.70863636
223,165.276022,52.26022727
224,177.056923,58.05222727
225,177.6217682,55.45327273
226,167.9338526,53.6185
227,174.2786456,58.05186364
228,175.253904,53.61904545
229,169.6509434,56.88881818
230,172.7800202,64.13754545
231,176.9683532,66.12827273
232,182.4273212,52.75681818
233,184.7767704,61.70263636
234,170.8899554,60.42036364
235,171.221781,52.57372727
236,174.07001,51.96290909
237,173.9170004,67.70545455
238,174.0374218,64.63081818
239,161.8622366,60.95636364
240,171.9702682,64.49663636
241,176.456721,63.06563636
242,169.4230292,61.11318182
243,165.6874004,53.18940909
244,177.5326142,52.57963636
245,177.3694192,61.26840909
246,166.110666,54.80663636
247,173.5382356,54.58340909
248,167.484933,38.34536364
249,178.049047,63.15427273
250,167.7804874,65.23840909
251,173.3164174,55.97031818
252,165.6526532,52.51186364
253,175.6707942,54.99290909
254,171.7056256,54.83968182
255,170.9069734,56.37963636
256,169.7818042,53.28354545
257,172.9303374,58.16354545
258,169.0875714,53.06940909
259,178.2311142,55.45259091
260,172.3418702,56.36145455
261,169.2226486,49.47954545
262,161.7679264,47.57154545
263,172.810424,60.11272727
264,170.03014,57.81063636
265,168.3078168,56.87313636
266,179.654454,60.60090909
267,179.5994376,55.60745455
268,186.1025488,59.21072727
269,162.0271334,53.06504545
270,172.3163686,57.20609091
271,172.1626732,45.73954545
272,170.7870854,53.86113636
273,169.5628054,62.32977273
274,175.3386892,53.95413636
275,174.0573608,56.43822727
276,164.2216426,56.79281818
277,165.463093,57.4495
278,169.5227496,55.23886364
279,170.1780442,60.58868182
280,178.4759194,57.91236364
281,171.6447164,56.85454545
282,168.4167828,46.73245455
283,175.0238308,61.00963636
284,166.6377922,45.89809091
285,172.7248006,66.313
286,177.640361,70.593
287,178.170586,63.05340909
288,169.3256456,52.84595455
289,176.2931704,54.82213636
290,169.6871892,52.00377273
291,171.9592192,60.60936364
292,175.6013252,42.15888636
293,171.5457326,59.90113636
294,167.0789648,53.81204545
295,168.2945326,59.61209091
296,171.1715652,59.18331818
297,164.9559058,58.71981818
298,175.9127546,65.06568182
299,175.4565706,63.05940909
300,176.8958362,59.524
301,175.455707,56.50145455
302,172.7531216,61.53190909
303,174.8958656,56.454
304,160.5066132,50.56313636
305,166.5628114,58.81986364
306,175.5673654,58.06563636
307,177.260631,55.1505
308,171.4043562,53.73559091
309,175.4837486,56.0655
310,174.124366,69.05081818
311,173.2617058,52.414
312,170.437048,55.62927273
313,180.9409894,58.74195455
314,175.5634284,62.85563636
315,166.3661392,65.48022727
316,169.1311324,54.931
317,172.7157074,51.50154545
318,184.3467738,67.87395455
319,172.658659,59.38059091
320,169.2236138,55.63045455
321,170.9311796,60.84895455
322,167.5371554,61.288
323,169.0118794,62.65286364
324,172.9161642,51.21872727
325,167.2155914,55.08927273
326,175.8625134,52.23918182
327,164.3230902,50.171
328,175.8028488,57.28804545
329,170.6065168,53.95490909
330,172.330618,54.23218182
